제목,가격,e북가격,연도,등수
유퀴즈에서 만난 사람들 (모든 사람은 한 편의 드라마다),"16,080","12,150",2024.02.01.,시/에세이 131위
사랑하라 한번도 상처받지 않은 것처럼,"8,550","6,300",2008.10.24.,시/에세이 130위
하필 책이 좋아서 (책을 지나치게 사랑해 직업으로 삼은 자들의 문득 마음이 반짝하는 이야기),"15,390", ,2024.01.11.,시/에세이 133위
"우리의 감정은 우리의 것이기에 (사랑했기에 아파했으며, 치열하게 살았던 우리의 이야기들)","15,820", ,2024.01.29.,시/에세이 141위
사랑하고 싶고 상처받긴 싫은 너에게,"15,300", ,2024.01.29.,시/에세이 47위
남겨진 것들의 기록 (유품정리사가 써내려간 떠난 이들의 뒷모습),"14,540", ,2024.01.30.,시/에세이 38위
잃어버린 길 위에서,"14,850", ,2024.02.01.,시/에세이 148위
상처 없는 계절 (신유진 산문),"13,500", ,2024.01.30.,시/에세이 82위
서울 보통 시 (서울 사람의 보통 이야기),"15,390", ,2024.01.24.,시/에세이 37위
"슬퍼하지 말아요, 곧 밤이 옵니다 (헤르만 헤세 시 필사집)","16,930","14,256",2024.01.20.,시/에세이 88위
꽃이 사람이다 (꽃 내음 그윽한 풀꽃문학관 편지),"14,540", ,2024.01.30.,시/에세이 46위
오래 보고 싶었다 (내일 더 빛날 당신을 위한 위로),"14,540","10,800",2023.10.05.,시/에세이 124위
내가 생각한 인생이 아니야 (인생의 가장 큰 선물은 다른 인생),"16,200","11,340",2023.12.21.,시/에세이 11위
촉진하는 밤 (김소연 시집),"10,260", ,2023.09.14.,시/에세이 146위
보편의 단어 (당신의 삶을 떠받치고 당신을 살아가게 하는),"13,680","10,530",2024.01.11.,시/에세이 8위
새벽과 음악,"16,200", ,2024.01.25.,시/에세이 22위
사랑인 줄 알았는데 부정맥 (노인들의 일상을 유쾌하게 담다),"11,970", ,2024.01.17.,시/에세이 3위
보통 이하의 것들,"18,810", ,2023.12.31.,시/에세이 114위
"읽을, 거리 (김민정의 1월)","12,830","9,450",2024.01.01.,시/에세이 104위
2024 신춘문예 당선시집,"11,970", ,2024.01.15.,시/에세이 144위
내가 한 말을 내가 오해하지 않기로 함 (빠더너스 문상훈 책),"16,930", ,2024.01.05.,시/에세이 7위
세상을 받아들이는 방식,"13,680","10,080",2024.01.02.,시/에세이 121위
정신머리 (박참새 시집),"10,260","7,560",2023.12.15.,시/에세이 43위
그대는 나의 여름이 되세요 (서덕준 시선집),"14,540","10,710",2023.12.14.,시/에세이 54위
별의 길 (양세형 시집),"11,800","8,730",2023.12.04.,시/에세이 30위
"푸바오, 언제나 사랑해","20,700", ,2024.01.15.,시/에세이 2위
꽃을 보듯 너를 본다 (나태주 시집),"9,410", ,2020.11.30.,시/에세이 27위
너무 잘하려고 애쓰지 마라 (나태주 시집),"11,970", ,2022.05.31.,시/에세이 125위
하는 일마다 잘되리라 (당신이 어디에 있든 무엇을 하든),"16,200","11,340",2023.11.13.,시/에세이 10위
겨울의 언어 (김겨울 산문집),"15,820","11,700",2023.11.10.,시/에세이 138위
듣는 사람,"15,390","11,340",2024.01.15.,시/에세이 56위
마음챙김의 시,"6,180","8,550",2020.09.17.,시/에세이 101위
